	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_hits	vogdb_id	vogdb_categories	vogdb_hit	heme_regulatory_motif_count	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	virsorter_category	auxiliary_score	is_transposon	amg_flags
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2_1	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	1	2207	2395	-1	C		ecv:APECO1_O1R41  hypothetical protein	False	0.902	115.0	2.976e-29												0								2	5	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	2	2437	2838	-1	C		ecv:APECO1_O1R41  hypothetical protein	False	0.873	231.0	7.339999999999999e-68												0								2	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2_3	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	3	2944	3126	-1	C		ecv:APECO1_O1R40  hypothetical protein	False	0.993	120.0	8.222e-31												0								2	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2_4	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	4	3758	4906	-1	A		seec:CFSAN002050_00020  hypothetical protein	True	0.977	687.0	3.05e-221	YP_009222801.1	YP_009222801.1 DNA primase [Pseudomonas phage PS-1]	False	0.221	79.0	1.156e-14	Toprim domain [PF13362.6]		REFSEQ	Xu	REFSEQ DNA primase; Xu	0								1	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2_5	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	5	5031	5243	-1	C		ecv:APECO1_O1R38  hypothetical protein	False	0.841	119.0	2.567e-30												0								2	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2_6	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	6	5391	5729	-1	C		seec:CFSAN002050_00030  hypothetical protein	False	0.502	93.0	3.0060000000000004e-20												0								2	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2_7	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	7	5749	7128	-1	A		ecv:APECO1_O1R37  hypothetical protein	True	0.895	815.0	6.9290000000000005e-264												0								2	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2_8	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	8	8100	8444	-1	C		ecv:APECO1_O1R36  hypothetical protein	False	0.948	225.0	2.454e-66							Protein of unknown function (DUF3150) [PF11348.8]					0								2	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2_9	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_124286_133145_16__full-cat_2	9	8497	8664	-1	C		seec:CFSAN002050_00040  hypothetical protein	False	0.975	115.0	2.0800000000000002e-29												0								2	5	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2_1	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	1	1	126	1	C		eum:ECUMN_4825  mphR; regulator of macrolide 2'-phosphotransferase I	False	1.0	91.0	4.801e-21												0								2	5	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	2	637	912	1	C		abn:AB57_0268  insertion sequence IS6100	False	0.978	173.0	7.718e-49												0								2	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2_3	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	3	937	1197	1	C		kpn:KPN_pKPN4p07063  transposase for IS26	False	1.0	196.0	8.93e-57	YP_009624864.1	YP_009624864.1 transposase IS26 [Escherichia phage RCS47]	False	1.0	187.0	2.255e-55						0								2	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2_4	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	4	1280	1870	1	A		koe:A225_R1p0035  hypothetical protein	True	0.987	410.0	6.368e-129							Plasmid pRiA4b ORF-3-like protein [PF07929.11]					0								2	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2_5	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	5	2007	2579	1	A		koe:A225_R1p0040  YdaA	True	0.951	382.0	3.502e-119	YP_516217.1	YP_516217.1 resolvase [Sodalis phage phiSG1]	False	0.355	107.0	1.328e-25	Resolvase, N terminal domain [PF00239.21]					0								1	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2_6	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	6	2613	4007	1	A		koe:A225_R1p0045  hypothetical protein	True	0.982	961.0	1.555e-314							Uncharacterised protein family (UPF0236) [PF06782.11]					0								2	3	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2_7	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	7	4031	4468	1	C		koe:A225_R1p0410  Resolvase	False	0.928	278.0	4.552e-84	YP_001718725.1	YP_001718725.1 DNA-invertase [Salmonella virus Fels2]	False	0.425	102.0	1.996e-24	Resolvase, N terminal domain [PF00239.21]					0								1	4	False	F
plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2_8	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	plasmid__NZ_CP044306_1_Escherichia_coli_strain_C27A_plasmid_pC27A_CTX_M_55__complete_sequence_9924_14844_2__full-cat_2	8	4784	4918	-1	C		koe:A225_R1p1020  QnrS1	False	1.0	96.0	6.607e-23												0								2	5	False	F
plasmid__NZ_CP044308_1_Escherichia_coli_strain_C27A_plasmid_pC27A_3__complete_sequence_61962_67230_10__full-cat_2_1	plasmid__NZ_CP044308_1_Escherichia_coli_strain_C27A_plasmid_pC27A_3__complete_sequence_61962_67230_10__full-cat_2	plasmid__NZ_CP044308_1_Escherichia_coli_strain_C27A_plasmid_pC27A_3__complete_sequence_61962_67230_10__full-cat_2	1	2	403	-1	C	K02071	eco:b0199  metN; DL-methionine transporter subunit; K02071 D-methionine transport system ATP-binding protein	False	0.925	262.0	1.073e-78	YP_004957306.1	YP_004957306.1 unnamed protein product [Planktothrix phage PaV-LD]	False	0.463	113.0	1.79e-28	ABC transporter [PF00005.27]; RecF/RecN/SMC N terminal domain [PF02463.19]					0								1	5	False	MF
plasmid__NZ_CP044308_1_Escherichia_coli_strain_C27A_plasmid_pC27A_3__complete_sequence_61962_67230_10__full-cat_2_2	plasmid__NZ_CP044308_1_Escherichia_coli_strain_C27A_plasmid_pC27A_3__complete_sequence_61962_67230_10__full-cat_2	plasmid__NZ_CP044308_1_Escherichia_coli_strain_C27A_plasmid_pC27A_3__complete_sequence_61962_67230_10__full-cat_2	2	759	887	1	C	K03273	kpu:KP1_1061  D,D-heptose 1,7-bisphosphate phosphatase; K03273 D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]	False	0.979	87.0	8.831000000000001e-20												0								1	5	False	F
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_1	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	1	2	88	1	E																		0								1	5	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	2	88	288	1	C		kpr:KPR_4245  hypothetical protein	False	0.843	78.0	6.205e-16	NP_543059.1	NP_543059.1 hypothetical protein P27p07 [Enterobacteria phage phiP27]	False	0.698	73.0	6.764e-16						0								1	3	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_3	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	3	361	1224	1	C		psi:S70_04695  hypothetical protein	False	0.797	254.0	7.192999999999999e-73	YP_007238152.1	YP_007238152.1 phage antirepressor protein [Cronobacter phage ENT39118]	True	0.809	475.0	3.766e-151	ORF6N domain [PF10543.9]		sp|P19655|ANT_BPP1	Xu	sp|P19655|ANT_BPP1 Antirepressor protein 1; Xu	0								1	3	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_4	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	4	1221	1787	1	A		sbz:A464_2046  Mobile element protein	True	0.93	366.0	7.022e-114	YP_001700540.1	YP_001700540.1 hypothetical protein STM0896.2n.Fels1 [Salmonella phage Fels-1]	False	0.845	142.0	9.412e-38	DNA polymerase III beta subunit, central domain [PF02767.16]		REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	3	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_5	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	5	1784	2008	1	C		sbz:A464_2047  hypothetical protein	False	0.824	128.0	2.143e-33	YP_001700539.1	YP_001700539.1 hypothetical protein STM0896.1n.Fels1 [Salmonella phage Fels-1]	False	0.853	133.0	8.385e-37						0								1	3	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_6	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	6	2005	2469	1	C		sbz:A464_2049  ATPase involved in DNA repair	False	0.818	256.0	2.42e-76	YP_001700538.1	YP_001700538.1 hypothetical protein STM0895.Fels1 [Salmonella phage Fels-1]	False	0.84	103.0	8.077e-25						0								2	3	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_7	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	7	2469	2684	1	C		adn:Alide_0062  hypothetical protein	False	0.526	61.0	6.863e-10	YP_001700537.1	YP_001700537.1 hypothetical protein STM0895.2n.Fels1 [Salmonella phage Fels-1]	False	0.979	149.0	2.2770000000000006e-42						0								1	3	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_8	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	8	2835	3077	1	C		stm:STM0894  excisionase	False	0.793	132.0	8.847e-35	YP_001700535.1	YP_001700535.1 putative bacteriophage excisionase [Salmonella phage Fels-1]	False	0.793	132.0	2.1260000000000003e-36	Putative excisionase (DUF1233) [PF06806.12]		REFSEQ	Xu	REFSEQ putative excisionase; Xu	0								1	3	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_9	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	9	3103	4428	1	A	K14059	stm:STM0893  integrase; K14059 integrase	True	0.845	771.0	3.3599999999999996e-249	YP_001700534.1	YP_001700534.1 putative bacteriophage integrase [Salmonella phage Fels-1]	True	0.845	771.0	8.074e-251	Arm DNA-binding domain [PF12167.8]; Phage integrase family [PF00589.22]; Phage integrase SAM-like domain [PF13102.6]		sp|O10330|VLF1_NPVOP	Xr	sp|O10330|VLF1_NPVOP Very late expression factor 1; Xr	0								1	3	False	VTF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_10	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	10	4920	6470	-1	A		etr:ETAE_2521  methyl-accepting chemotaxis sensory transducer	True	0.427	389.0	1.126e-115							Methyl-accepting chemotaxis protein (MCP) signalling domain [PF00015.21]; HAMP domain [PF00672.25]; Cache domain [PF02743.18]					0	MER0501642	M23B	MER0501642 - subfamily M23B unassigned peptidases (Clostridium saccharobutylicum) [M23.UPB]#M23B#{peptidase unit: 361-556}~source YP_008673405~	False	0.433	69.0	1.114e-10	2	3	False	PTF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_11	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	11	6703	7029	1	C		eun:UMNK88_pHly54  transposase	False	0.873	113.0	1.815e-27												0								1	3	False	T
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_12	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	12	6954	7400	-1	C		amaa:amad1_20300  transposase IS3/IS911 family protein	False	0.771	230.0	2.041e-67	YP_008766887.1	YP_008766887.1 ISEhe3 orfB [Shigella phage SfIV]	False	0.461	124.0	4.919e-32	Integrase core domain [PF00665.26]; Integrase core domain [PF13683.6]; Integrase core domain [PF13333.6]					0								1	3	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_13	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	13	7418	7825	-1	C		sbm:Shew185_4401  transposase IS3/IS911 family protein	False	0.442	108.0	3.571e-25							HTH-like domain [PF13276.6]					0								1	3	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_14	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	14	7881	8099	-1	C		amaa:amad1_20305  transposase	False	0.557	67.0	4.429e-12							Transposase [PF01527.20]; leucine-zipper of insertion element IS481 [PF13011.6]					0								2	3	True	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_15	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	15	8372	8800	-1	C		eoj:ECO26_5298  transposase	False	0.825	244.0	3.353000000000001e-72												0								2	3	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_16	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	16	8971	9282	1	C		azl:AZL_b01840  transposase	False	0.577	125.0	1.089e-31	YP_009226824.1	YP_009226824.1 transposase mutator family [Staphylococcus phage SPbeta-like]	False	0.382	63.0	7.209e-12						0								2	3	False	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_17	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	17	9899	10231	1	C		ecy:ECSE_4580  transposase	False	0.826	190.0	4.553e-54	YP_008318534.1	YP_008318534.1 hypothetical protein SfII_56 [Shigella phage SfII]	False	0.831	170.0	5.835e-49	Transposase [PF01527.20]		sp|Q51647|YISX_BURM1	Xu	sp|Q51647|YISX_BURM1 Insertion element IS401 uncharacterized 12.4 kDa protein; Xu	0								1	3	True	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_18	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	18	10456	10869	1	C		setc:CFSAN001921_11945  transposase	False	0.41	92.0	1.158e-19	YP_002274236.1	YP_002274236.1 truncated transposase [Stx2-converting phage 1717]	False	0.323	65.0	5.299e-12	Transposase [PF01527.20]		REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								2	3	True	TF
plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2_19	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	plasmid__NZ_CP045061_1_Salmonella_enterica_subsp__enterica_serovar_Muenchen_strain_LG26_plasmid_pLG26p2__complete_sequence_61123_73406_8__full-cat_2	19	10869	11189	1	C	K07484	ecp:ECP_0321  transposase; K07484 transposase	False	0.86	173.0	1.599e-48	YP_002274237.1	YP_002274237.1 transposase [Stx2-converting phage 1717]	False	0.712	140.0	1.8119999999999999e-38	IS66 Orf2 like protein [PF05717.13]					0								1	3	True	TF
